name,beer,bar
Flora Mann,Ipswich Winter,Cape Ann Brewing
Elsie Tyler,Kenmore K̦lsch,Buzzards Bay Brewing Inc.
Terry Copeland,Two Sisters Imperial Stout,Harpoon Brewery - Boston
Johanna Briggs,Samuel Adams Holiday Porter,Buzzards Bay Brewing Inc.
Bobby Robertson,Sam Adams Light,Paper City Brewing Company
Brent Harris,Wilmington Roggen Beer,John Harvard's Brew House - Framingham
Susan Reynolds,1084 Barleywine,Paper City Brewing Company
Caleb Leonard,Hercules Stong Ale,Harpoon Brewery - Boston
Katherine Barker,Buckeye Oatmeal Stout,Brewery at Martha's Vineyard
Louis Fisher,Righteous Red,Commonwealth Brewing #1
Lida Henry,Cascade IPA,Cape Ann Brewing
Jay Welch,Harpoon Celtic Ale,Commonwealth Brewing #1
Nicholas Manning,Samuel Adams Double Bock,Paper City Brewing Company
Roger Wade,Samuel Adams Boston Lager,Cambridge Brewing
Stephen Aguilar,Samuel Adams Coastal Wheat,Wachusetts Brewing Company
Millie Mason,Puffers Smoked Porter,Brewery at Martha's Vineyard
Isaiah Carlson,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Cape Ann Brewing
Irene Lynch,Samuel Adams Golden Pilsner,Element Brewing Company
Philip Mathis,Cascade IPA,Harpoon Brewery - Boston
Rachel Marshall,Cambridge Amber,Wachusetts Brewing Company
Kate Marshall,Dark Element,New Century Brewing Company
Franklin Sandoval,Workingman's Wheat,Element Brewing Company
Dominic Cunningham,Raspberry Brown Ale,Harpoon Brewery - Boston
Albert Jacobs,Samuel Adams Holiday Porter,Boston Beer Works
Carl Armstrong,IPA,Cape Ann Brewing
Lois Sanchez,Framingham Maibock,Commonwealth Brewing #1
Landon Sherman,Amber Ale,Mercury Brewing Company
Lydia Daniels,Hercules Stong Ale,New Century Brewing Company
Francisco Gonzales,Hops Explosion IPA,New Century Brewing Company
Emily Ingram,Amber Ale,Cambridge Brewing
Tyler Blake,Samuel Adams Chocolate Bock,Watch City Brewing
Olivia Zimmerman,Longshot American Pale Ale,Cambridge Brewing
Helena Harris,Amber Ale,Boston Beer Works
Miguel Duncan,Samuel Adams Holiday Porter,Buzzards Bay Brewing Inc.
Lucinda Paul,Ipswich Winter,Mercury Brewing Company
Donald Hogan,Sam Adams Light,Boston Beer Company
Gordon Jefferson,Hard Core Crisp Apple Cider,Element Brewing Company
Mathilda Roberson,Hops Explosion IPA,John Harvard's Brew House - Harvard Square
Ola Zimmerman,Heather Ale,Paper City Brewing Company
Estella Bishop,Samuel Adams Scotch Ale,Cambridge Brewing
Charles Gregory,Raspberry Brown Ale,Boston Beer Works
Jeffrey Reynolds,Bankers Gold,Boston Beer Works
Howard Walker,Half in the Bagpipe,Boston Beer Works
Dale Becker,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Framingham
Tyler Aguilar,Ipswich IPA,Cambridge Brewing
Lulu Rios,Tall Tale Pale Ale,Brewery at Martha's Vineyard
Calvin Bradley,Samuel Adams Blackberry Witbier,Brewery at Martha's Vineyard
Nettie Hanson,Puffers Smoked Porter,New Century Brewing Company
Alexander Dennis,Heather Ale,John Harvard's Brew House - Framingham
Duane Goodwin,Golden Ale,New Century Brewing Company
Randy Coleman,Ipswich Winter,Wachusetts Brewing Company
Roy Norton,Harpoon Celtic Ale,Element Brewing Company
Nannie Leonard,Ipswich Nut Brown,Element Brewing Company
Thomas Singleton,Samuel Adams Holiday Porter,Element Brewing Company
Bruce Little,Samuel Adams Honey Porter,Paper City Brewing Company
Eva Walton,Ipswich Winter,Paper City Brewing Company
Lelia Tucker,Samuel Adams Holiday Porter,Buzzards Bay Brewing Inc.
Jose Murphy,Ipswich Winter,Watch City Brewing
Verna Hamilton,Heather Ale,Element Brewing Company
Charlie Casey,Harpoon Leviathan,Boston Beer Company
Peter Cain,Hercules Stong Ale,Cambridge Brewing
Zachary Saunders,Samuel Adams Imperial Stout,Cambridge Brewing
Gene Goodman,Kenmore K̦lsch,Brewery at Martha's Vineyard
Esther Logan,North Pleasant Pale Ale,Wachusetts Brewing Company
Alexander Tyler,Classic Stout,Boston Beer Company
Lloyd Bowman,Samuel Adams White Ale,Buzzards Bay Brewing Inc.
Madge Johnson,Lewmeister Oktoberfest,Paper City Brewing Company
Viola Singleton,Edison Light Beer,Boston Beer Company
Phillip Evans,Holyoke Dam Ale,Commonwealth Brewing #1
Mamie Bryan,Harpoon Winter Warmer,Wachusetts Brewing Company
Minerva Rhodes,Edison Light Beer,Wachusetts Brewing Company
Brent Gordon,Ipswich Porter,Brewery at Martha's Vineyard
Victoria Lane,Samuel Adams Pale Ale,Cambridge Brewing
Leon Grant,Hard Core Crisp Apple Cider,Boston Beer Company
Martha Moreno,Holyoke Dam Ale,Brewery at Martha's Vineyard
Angel Abbott,Samuel Adams Honey Porter,Harpoon Brewery - Boston
Grace Hansen,Ipswich Summer,Harpoon Brewery - Boston
Joshua Ford,IPA,Buzzards Bay Brewing Inc.
Troy Mills,Samuel Adams Summer Ale,John Harvard's Brew House - Harvard Square
Jane Wilson,Harpoon Munich Dark,Boston Beer Works
Lora Pearson,Harpoon Celtic Ale,Cambridge Brewing
Victoria Guerrero,Samuel Adams Scotch Ale,Cambridge Brewing
Laura Ward,Puffers Smoked Porter,New Century Brewing Company
Jeanette Hill,Ipswich Original Ale,Element Brewing Company
Eugene Sutton,Samuel Adams Winter Lager,Boston Beer Company
Susan Mills,Two Sisters Imperial Stout,John Harvard's Brew House - Framingham
Dominic Thompson,Fenway American Pale Ale,Commonwealth Brewing #1
Chad Hayes,Olde Buzzard Lager,Cambridge Brewing
Phoebe Collier,Hops Explosion IPA,New Century Brewing Company
Evan Wolfe,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Watch City Brewing
Tillie Schmidt,Harpoon Ale,Brewery at Martha's Vineyard
Albert Guerrero,Samuel Adams Black Lager,Brewery at Martha's Vineyard
Marguerite Owens,Amber Ale,Boston Beer Company
Nathan Banks,Cambridge Amber,Boston Beer Works
Irene Silva,Wilmington Roggen Beer,Brewery at Martha's Vineyard
Christian Cain,Samuel Adams Brown Ale,Brewery at Martha's Vineyard
Jeffery Hart,Fenway American Pale Ale,Brewery at Martha's Vineyard
Daisy Houston,Samuel Adams Pale Ale,Mercury Brewing Company
Roger White,Fenway American Pale Ale,Buzzards Bay Brewing Inc.
Jeremy Patterson,Hercules Stong Ale,Mercury Brewing Company
Mittie Houston,Boltwood Bock,Brewery at Martha's Vineyard
Hester Tran,Samuel Adams Brown Ale,Cape Ann Brewing
Lora Lawson,Lewmeister Oktoberfest,Cambridge Brewing
Scott Stephens,Wilmington Roggen Beer,Commonwealth Brewing #1
Robert Richardson,Buckeye Oatmeal Stout,Boston Beer Company
Evelyn McCoy,Regatta Golden,Harpoon Brewery - Boston
Luke Chandler,Regatta Golden,Wachusetts Brewing Company
Marc Stephens,Samuel Adams Pale Ale,Cambridge Brewing
Mario Figueroa,Hops Explosion IPA,Cape Ann Brewing
Lina Fitzgerald,Samuel Adams Holiday Porter,Boston Beer Company
Winnie Banks,Patriots Pilsner,Commonwealth Brewing #1
Hattie Davis,Ipswich Original Ale,Commonwealth Brewing #1
Harry Abbott,Sam Adams Light,Cape Ann Brewing
Allie Ray,Regatta Golden,Cape Ann Brewing
Ella Reese,Olde #8 Anniversary Ale,Harpoon Brewery - Boston
Aiden Conner,Cascade IPA,Brewery at Martha's Vineyard
George Holland,Ipswich IPA,New Century Brewing Company
Jimmy Armstrong,Extra Stout,John Harvard's Brew House - Framingham
Christine McCoy,Massatucky Brown,Cambridge Brewing
Keith Osborne,Half in the Bagpipe,Cape Ann Brewing
Vincent Bell,Samuel Adams Pale Ale,Element Brewing Company
Max Higgins,Righteous Red,Watch City Brewing
Jane Sanders,Samuel Adams Cherry Wheat,Wachusetts Brewing Company
Mattie Sandoval,Harpoon Celtic Ale,Mercury Brewing Company
Sean Evans,Samuel Adams Black Lager,Commonwealth Brewing #1
Lily Patrick,Ipswich IPA,Paper City Brewing Company
Gerald Cunningham,Holyoke Dam Ale,Cape Ann Brewing
Kate Miller,Longshot Hazelnut Brown,New Century Brewing Company
Georgie Waters,Special Old Ale,Buzzards Bay Brewing Inc.
Glen Schmidt,Samuel Adams Imperial Stout,Boston Beer Works
Addie Rodgers,Ipswich Dark Ale,Boston Beer Company
Billy Hardy,Harpoon Ale,John Harvard's Brew House - Harvard Square
Isabella Banks,Wachusetts IPA,Boston Beer Works
Francis Bowers,Graduation Ale,Harpoon Brewery - Boston
Ida Moran,Samuel Adams Golden Pilsner,John Harvard's Brew House - Harvard Square
Chris Weaver,Harpoon Celtic Ale,Element Brewing Company
Irene Riley,Ipswich IPA,John Harvard's Brew House - Harvard Square
Eugene Malone,Ipswich IPA,Cambridge Brewing
Minnie Yates,Dark Element,Cape Ann Brewing
Daisy Blake,Raspberry Brown Ale,Watch City Brewing
Christina Rhodes,Samuel Adams Boston Lager,John Harvard's Brew House - Framingham
Theresa Gibson,Lewmeister Oktoberfest,Boston Beer Works
Harold Harrington,Wilmington Roggen Beer,John Harvard's Brew House - Framingham
Earl Powell,Two Sisters Imperial Stout,Cambridge Brewing
Marc Stone,UFO Raspberry Hefeweizen,Boston Beer Company
Ruby Pope,Samuel Adams Cream Stout,Element Brewing Company
Carolyn Nichols,Samuel Adams Hallertau Imperial Pilsner,Harpoon Brewery - Boston
Rachel Thomas,Harpoon Ale,Buzzards Bay Brewing Inc.
Calvin Brock,Righteous Red,Commonwealth Brewing #1
Effie Flores,Longshot Hazelnut Brown,Harpoon Brewery - Boston
Roger Neal,Cascade IPA,Cape Ann Brewing
Jordan Hayes,Righteous Red,Harpoon Brewery - Boston
Bernice Boone,Ipswich Dark Ale,Boston Beer Company
Maud Schmidt,Wachusetts IPA,Buzzards Bay Brewing Inc.
Derrick Christensen,Harpoon Winter Warmer,New Century Brewing Company
Kate Sandoval,Samuel Adams White Ale,Paper City Brewing Company
Lelia Willis,Workingman's Wheat,Cambridge Brewing
Trevor Sparks,Longshot American Pale Ale,Element Brewing Company
Julian Greer,Ipswich Winter,Wachusetts Brewing Company
Cora Chambers,Longshot Black Lager,Mercury Brewing Company
Janie Coleman,Tall Tale Pale Ale,Element Brewing Company
Jeffery Schmidt,Longshot American Pale Ale,Watch City Brewing
Luke Edwards,Samuel Adams Summer Ale,Element Brewing Company
Ralph Marsh,Samuel Adams White Ale,Harpoon Brewery - Boston
Cynthia McDonald,Amber Ale,New Century Brewing Company
Garrett Wade,Samuel Adams Irish Red,Boston Beer Works
Vincent Walker,Samuel Adams Old Fezziwig Ale,Boston Beer Works
Leo Green,Patriots Pilsner,New Century Brewing Company
Anthony Ray,Boltwood Bock,Buzzards Bay Brewing Inc.
Jacob McGee,Special Old Ale,New Century Brewing Company
Leah Newman,Extra Stout,Mercury Brewing Company
Estelle Alvarez,Raspberry Brown Ale,John Harvard's Brew House - Framingham
Kathryn Mathis,Hercules Stong Ale,Wachusetts Brewing Company
Isabella Bryan,Samuel Adams Cranberry Lambic,Wachusetts Brewing Company
Jesus Hanson,Harpoon Brown Session Ale,Element Brewing Company
Frances Huff,Samuel Adams Spring Ale,Boston Beer Company
Mollie Estrada,Special Old Ale,Boston Beer Company
Rodney Maldonado,Edison Light Beer,Commonwealth Brewing #1
Hettie Christensen,Samuel Adams OctoberFest,Brewery at Martha's Vineyard
Kathryn Hayes,Samuel Adams Boston Lager,Commonwealth Brewing #1
Roxie Parsons,IPA,John Harvard's Brew House - Framingham
Philip Curtis,Heather Ale,Boston Beer Company
Gabriel Carson,North Pleasant Pale Ale,John Harvard's Brew House - Harvard Square
Jesse Summers,Ipswich Original Ale,Element Brewing Company
Gavin McGuire,Ipswich Oatmeal Stout,Cape Ann Brewing
Caroline Ward,Golden Ale,Boston Beer Works
Maurice Cannon,Golden Ale,Cape Ann Brewing
Marion Estrada,Ipswich Dark Ale,Commonwealth Brewing #1
Loretta Long,Ipswich Summer,Brewery at Martha's Vineyard
Cole Daniels,Samuel Adams Honey Porter,Brewery at Martha's Vineyard
Marc French,Samuel Adams Coastal Wheat,Cape Ann Brewing
Dominic Edwards,Harpoon Brown Session Ale,Cape Ann Brewing
Louise Hansen,Cambridge Amber,Commonwealth Brewing #1
Lucile Brady,Cambridge Amber,Element Brewing Company
Rosalie Daniel,Samuel Adams Boston Ale,Boston Beer Company
Nelle Love,Samuel Adams Chocolate Bock,Brewery at Martha's Vineyard
Ellen Ellis,Longshot Black Lager,John Harvard's Brew House - Harvard Square
Larry Franklin,Extra Stout,Commonwealth Brewing #1
Vera Cain,Ipswich Porter,Element Brewing Company
Vincent Carpenter,Bankers Gold,Commonwealth Brewing #1
Hulda Franklin,Golden Ale,Commonwealth Brewing #1
Landon Collins,Samuel Adams Triplebock 1995,John Harvard's Brew House - Harvard Square
Marvin Barton,Edison Light Beer,Watch City Brewing
Seth Park,Holyoke Dam Ale,Boston Beer Company
Caroline Neal,Samuel Adams Boston Lager,Element Brewing Company
Olivia Nash,Samuel Adams Golden Pilsner,Mercury Brewing Company
Bradley Higgins,Samuel Adams Winter Lager,Element Brewing Company
Amelia Hunt,Samuel Adams Scotch Ale,New Century Brewing Company
Ruth Wheeler,Graduation Ale,Wachusetts Brewing Company
Etta Lopez,Samuel Adams Holiday Porter,Harpoon Brewery - Boston
Gene Wise,Samuel Adams Boston Ale,Commonwealth Brewing #1
Agnes Greer,Harpoon UFO Hefeweizen,Element Brewing Company
Tommy Francis,Ipswich Summer,Mercury Brewing Company
May Wise,Holyoke Dam Ale,Paper City Brewing Company
Annie Boyd,Samuel Adams Irish Red,Paper City Brewing Company
Claudia Rodgers,UFO Raspberry Hefeweizen,Cape Ann Brewing
Albert Myers,Two Sisters Imperial Stout,New Century Brewing Company
Russell Sanders,Ipswich Oatmeal Stout,New Century Brewing Company
Gordon Lindsey,Longshot Black Lager,Commonwealth Brewing #1
Gilbert Burns,Samuel Adams Cream Stout,John Harvard's Brew House - Framingham
Clarence Fowler,Honey Pilsner,Paper City Brewing Company
Sean Jones,Samuel Adams Scotch Ale,New Century Brewing Company
Melvin Collier,Samuel Adams White Ale,Buzzards Bay Brewing Inc.
Eula Wade,Wachusetts IPA,Commonwealth Brewing #1
Bessie Kelly,Framingham Maibock,New Century Brewing Company
Kathryn Drake,Samuel Adams Cranberry Lambic,Harpoon Brewery - Boston
Walter Adams,Samuel Adams Imperial White,Cambridge Brewing
Edward Bishop,Samuel Adams Cranberry Lambic,Cambridge Brewing
Luella Phillips,Wachusetts IPA,Cambridge Brewing
Lee Gibbs,Samuel Adams Chocolate Bock,Boston Beer Company
Lucile Reed,Samuel Adams Old Fezziwig Ale,Element Brewing Company
Catherine Bass,Samuel Adams Coastal Wheat,Harpoon Brewery - Boston
Fred Gibson,Bankers Gold,John Harvard's Brew House - Harvard Square
Bettie Saunders,Ipswich Nut Brown,Commonwealth Brewing #1
Lucile Hopkins,Hercules Stong Ale,John Harvard's Brew House - Harvard Square
Anne Parker,Longshot American Pale Ale,Element Brewing Company
Polly Ellis,Hops Explosion IPA,Harpoon Brewery - Boston
Julian Green,Ipswich Nut Brown,Wachusetts Brewing Company
Ora Oliver,Boston Red,Boston Beer Works
Earl Cox,Workingman's Wheat,New Century Brewing Company
Theodore Palmer,Half in the Bagpipe,Harpoon Brewery - Boston
Vera Guerrero,Holyoke Dam Ale,Cambridge Brewing
Lucy Dunn,Cascade IPA,John Harvard's Brew House - Harvard Square
Kyle Long,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Adrian Barrett,Samuel Adams Triplebock 1995,John Harvard's Brew House - Framingham
Jeremy Terry,Samuel Adams Cherry Wheat,Paper City Brewing Company
Eric Burton,Boltwood Bock,Wachusetts Brewing Company
Mamie Gibbs,Samuel Adams Imperial White,Watch City Brewing
Anne Sutton,Kenmore K̦lsch,Commonwealth Brewing #1
Larry Jefferson,Harpoon Celtic Ale,Buzzards Bay Brewing Inc.
Blanche Wood,Hops Explosion IPA,Watch City Brewing
Lester White,Samuel Adams Summer Ale,Element Brewing Company
Gene Todd,Hops Explosion IPA,Paper City Brewing Company
Daniel Ellis,Samuel Adams Honey Porter,John Harvard's Brew House - Framingham
Harriett Hill,Heather Ale,Cape Ann Brewing
Dean Schmidt,Samuel Adams Imperial White,Brewery at Martha's Vineyard
Catherine Wilson,Honey Pilsner,New Century Brewing Company
Emily Higgins,Holyoke Dam Ale,John Harvard's Brew House - Harvard Square
Lilly Jones,Harpoon UFO Hefeweizen,Boston Beer Company
Douglas Nichols,Graduation Ale,Cape Ann Brewing
Kenneth Vaughn,Samuel Adams Irish Red,New Century Brewing Company
Millie Dixon,Samuel Adams Holiday Porter,New Century Brewing Company
Gilbert Armstrong,Boltwood Bock,Boston Beer Company
Jessie Payne,Cambridge Amber,Element Brewing Company
Nina Austin,Dark Element,Boston Beer Company
Minnie Lindsey,Sam Adams Light,Cambridge Brewing
Troy McLaughlin,Ipswich Harvest,John Harvard's Brew House - Framingham
Mabelle Harrington,Tall Tale Pale Ale,Commonwealth Brewing #1
Christina Fields,Puffers Smoked Porter,Mercury Brewing Company
Landon Clayton,IPA,Element Brewing Company
Winifred Byrd,Harpoon Winter Warmer,John Harvard's Brew House - Harvard Square
Kyle Montgomery,Samuel Adams Cream Stout,New Century Brewing Company
Jorge Chambers,Patriots Pilsner,Cambridge Brewing
Luke Wilkins,Classic Stout,New Century Brewing Company
Glen Bishop,Samuel Adams Utopias MMIV,Commonwealth Brewing #1
Genevieve Freeman,Wheaten Ale,John Harvard's Brew House - Harvard Square
Phoebe Kennedy,Harpoon Celtic Ale,New Century Brewing Company
Jon Lloyd,Harpoon Munich Dark,Buzzards Bay Brewing Inc.
Jack Burgess,Samuel Adams Scotch Ale,Cape Ann Brewing
Rosie Fowler,Samuel Adams Hallertau Imperial Pilsner,John Harvard's Brew House - Framingham
Catherine Knight,Samuel Adams Triplebock 1994,Cambridge Brewing
Belle Taylor,Harpoon Munich Dark,Wachusetts Brewing Company
Shane Elliott,Ipswich Winter,Boston Beer Works
Dale Spencer,Extra Stout,Paper City Brewing Company
Laura Garza,Green Monsta Ale,New Century Brewing Company
Hester Ortega,UFO Raspberry Hefeweizen,Boston Beer Company
Tommy Hale,Ipswich Summer,New Century Brewing Company
Benjamin Jackson,Regatta Golden,Watch City Brewing
Hallie Schneider,Samuel Adams Coastal Wheat,Boston Beer Company
Bernard James,Samuel Adams Scotch Ale,Element Brewing Company
Joe Bishop,Workingman's Wheat,Commonwealth Brewing #1
Garrett Spencer,Workingman's Wheat,Paper City Brewing Company
Ina Valdez,Samuel Adams Triplebock 1994,Boston Beer Works
Ernest Bowman,Samuel Adams Summer Ale,Watch City Brewing
Jonathan Williamson,Classic Stout,Commonwealth Brewing #1
Madge Hampton,IPA,Element Brewing Company
Kevin Goodwin,Samuel Adams Double Bock,Boston Beer Company
Laura Fitzgerald,Golden Ale,Cambridge Brewing
Sadie Grant,Samuel Adams Summer Ale,Cambridge Brewing
Erik Flores,Samuel Adams OctoberFest,Boston Beer Works
Cecilia Banks,Olde #8 Anniversary Ale,New Century Brewing Company
Willie Carlson,Samuel Adams Black Lager,Boston Beer Works
Augusta Stevenson,Heather Ale,Watch City Brewing
Edgar McDaniel,North Pleasant Pale Ale,Cambridge Brewing
Herbert Hunter,Samuel Adams Honey Porter,Mercury Brewing Company
Lida Hamilton,Ipswich Original Ale,Cambridge Brewing
Alexander Howard,Righteous Red,Buzzards Bay Brewing Inc.
Nathaniel Reid,Olde Buzzard Lager,Element Brewing Company
Abbie Roberts,Ipswich Nut Brown,Element Brewing Company
Gordon Walters,Samuel Adams OctoberFest,Paper City Brewing Company
Ada Sims,Wilmington Roggen Beer,Cambridge Brewing
Jeffrey Reeves,Holyoke Dam Ale,Wachusetts Brewing Company
Chester May,Cambridge Amber,Element Brewing Company
Darrell Blake,Ipswich Harvest,Buzzards Bay Brewing Inc.
Bernice Mullins,Patriots Pilsner,Mercury Brewing Company
Willie Boone,Two Sisters Imperial Stout,John Harvard's Brew House - Framingham
Marc Montgomery,Special Old Ale,Harpoon Brewery - Boston
Trevor Welch,Wilmington Roggen Beer,Cape Ann Brewing
Josephine Gray,Samuel Adams Double Bock,Mercury Brewing Company
Sallie Herrera,Samuel Adams Hefeweizen,Buzzards Bay Brewing Inc.
Eunice Vega,Samuel Adams Holiday Porter,New Century Brewing Company
Rosetta Reynolds,Workingman's Wheat,Paper City Brewing Company
Landon Rose,Samuel Adams Utopias MMIV,John Harvard's Brew House - Framingham
Derrick Ellis,Dark Element,John Harvard's Brew House - Framingham
Edwin French,Harpoon Celtic Ale,John Harvard's Brew House - Framingham
Cora Cortez,Cambridge Amber,Element Brewing Company
Jeff Carson,Patriots Pilsner,Brewery at Martha's Vineyard
Beatrice Walsh,Sam Adams Light,Harpoon Brewery - Boston
Chris Duncan,Regatta Golden,Harpoon Brewery - Boston
Thomas Lawrence,Hercules Stong Ale,Commonwealth Brewing #1
Julia Summers,Samuel Adams Blackberry Witbier,Brewery at Martha's Vineyard
Mabel Ramirez,Massatucky Brown,Mercury Brewing Company
Carolyn Tyler,Hercules Stong Ale,Watch City Brewing
Luke Baker,Holyoke Dam Ale,Buzzards Bay Brewing Inc.
Eddie Manning,Half in the Bagpipe,Brewery at Martha's Vineyard
Tyler Graves,Hercules Stong Ale,Cape Ann Brewing
Danny Bates,Samuel Adams Boston Ale,John Harvard's Brew House - Harvard Square
Phoebe Hoffman,Samuel Adams Boston Lager,Brewery at Martha's Vineyard
Chad Daniel,Longshot American Pale Ale,Boston Beer Company
Charlotte Barnett,Samuel Adams Honey Porter,Wachusetts Brewing Company
Jim Kelly,Boltwood Bock,Watch City Brewing
Henry Castro,Regatta Golden,Commonwealth Brewing #1
Terry Nelson,Samuel Adams Cherry Wheat,Cape Ann Brewing
Mae Harvey,North Pleasant Pale Ale,Watch City Brewing
Hulda Howard,Samuel Adams Honey Porter,Boston Beer Works
Christian Nash,Harpoon Ale,Boston Beer Works
Elmer Jackson,Samuel Adams Spring Ale,Mercury Brewing Company
Dean Roy,Samuel Adams Old Fezziwig Ale,Watch City Brewing
Christian Mason,Samuel Adams Imperial Stout,Brewery at Martha's Vineyard
Joshua Barrett,Samuel Adams Boston Lager,Harpoon Brewery - Boston
Barbara Hampton,Wachusetts IPA,Cape Ann Brewing
Erik Santos,Patriots Pilsner,Boston Beer Company
Vernon Warner,Hops Explosion IPA,Harpoon Brewery - Boston
Ora Mann,Harpoon UFO Hefeweizen,Element Brewing Company
Loretta Ruiz,Ipswich Winter,Boston Beer Works
Luella Woods,Samuel Adams Hallertau Imperial Pilsner,John Harvard's Brew House - Framingham
Barry Boyd,Samuel Adams Coastal Wheat,Boston Beer Works
Florence Huff,Olde Buzzard Lager,Watch City Brewing
Eleanor Garner,Framingham Maibock,Cambridge Brewing
Julian Kim,Ipswich Original Ale,John Harvard's Brew House - Harvard Square
Robert Gonzalez,Ipswich Porter,Brewery at Martha's Vineyard
Adrian Perez,Samuel Adams Utopias MMIV,John Harvard's Brew House - Framingham
Jose Dawson,Kenmore K̦lsch,Brewery at Martha's Vineyard
Lettie Gomez,Harpoon Winter Warmer,Mercury Brewing Company
Donald Davidson,Hard Core Crisp Apple Cider,Harpoon Brewery - Boston
Luis Thomas,Samuel Adams Imperial White,Wachusetts Brewing Company
Olivia Ray,Longshot Black Lager,Boston Beer Works
Aaron Bennett,Samuel Adams Holiday Porter,Buzzards Bay Brewing Inc.
Stanley Jordan,Samuel Adams Old Fezziwig Ale,Buzzards Bay Brewing Inc.
Henrietta Shaw,Samuel Adams Honey Porter,Boston Beer Company
Lucile McDonald,Samuel Adams Utopias MMIV,Wachusetts Brewing Company
Katherine Clarke,Harpoon Munich Dark,New Century Brewing Company
Henrietta Bryant,Samuel Adams Blackberry Witbier,New Century Brewing Company
Vincent Carson,Heather Ale,Paper City Brewing Company
Willie Waters,Buckeye Oatmeal Stout,New Century Brewing Company
Raymond Burgess,Graduation Ale,Paper City Brewing Company
Georgie Kelly,Samuel Adams Irish Red,Wachusetts Brewing Company
George Douglas,Harpoon Munich Dark,Brewery at Martha's Vineyard
Nathaniel Soto,Ipswich Porter,Cambridge Brewing
Madge Hill,Samuel Adams Scotch Ale,Commonwealth Brewing #1
Viola Ford,Bankers Gold,Harpoon Brewery - Boston
Bernice Copeland,Massatucky Brown,Commonwealth Brewing #1
Mildred Aguilar,Framingham Maibock,John Harvard's Brew House - Framingham
Travis Fowler,Samuel Adams Old Fezziwig Ale,Cape Ann Brewing
Austin Lewis,Holyoke Dam Ale,Watch City Brewing
Elmer McCormick,Samuel Adams Winter Lager,Element Brewing Company
Jeremy Flowers,Samuel Adams Spring Ale,John Harvard's Brew House - Harvard Square
Patrick Wilkins,Boltwood Bock,Watch City Brewing
Christina Collier,Framingham Maibock,Element Brewing Company
Minnie Burns,Harpoon Leviathan,Commonwealth Brewing #1
Millie Adkins,Harpoon Winter Warmer,New Century Brewing Company
Katherine Warren,Harpoon UFO Hefeweizen,Wachusetts Brewing Company
Lena Shelton,Samuel Adams Imperial White,Boston Beer Works
Dale Perkins,1084 Barleywine,Cape Ann Brewing
Jorge Bryan,Righteous Red,Commonwealth Brewing #1
Jared Morton,Ipswich Oatmeal Stout,John Harvard's Brew House - Framingham
Johanna Tate,Samuel Adams Irish Red,Boston Beer Company
Cory Ellis,Special Old Ale,New Century Brewing Company
Christian Hughes,Ipswich IPA,Buzzards Bay Brewing Inc.
Frances Farmer,Harpoon UFO Hefeweizen,Harpoon Brewery - Boston
Bill Wolfe,Samuel Adams Golden Pilsner,Boston Beer Company
Lucas Richards,Bankers Gold,Boston Beer Company
Victor Turner,Samuel Adams Triplebock 1995,John Harvard's Brew House - Harvard Square
Devin Luna,Puffers Smoked Porter,Cape Ann Brewing
Frances Powers,Classic Stout,Harpoon Brewery - Boston
Lewis Massey,North Pleasant Pale Ale,Brewery at Martha's Vineyard
Nina Boyd,Wilmington Roggen Beer,John Harvard's Brew House - Harvard Square
Lela Caldwell,Samuel Adams Boston Lager,Element Brewing Company
Nathaniel Cunningham,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Harpoon Brewery - Boston
Hannah Cohen,Famous Porter,Element Brewing Company
Carolyn Norman,Ipswich Oatmeal Stout,Boston Beer Company
Emilie Hodges,Honey Pilsner,Harpoon Brewery - Boston
Ada Freeman,Samuel Adams Honey Porter,Harpoon Brewery - Boston
Calvin Pope,Longshot Hazelnut Brown,Paper City Brewing Company
Vernon Kim,Samuel Adams Imperial White,Commonwealth Brewing #1
Arthur Bowers,Harpoon Leviathan,Element Brewing Company
Leona Watson,Tall Tale Pale Ale,Boston Beer Works
Brett Soto,Sam Adams Light,Wachusetts Brewing Company
Jeanette Sanchez,Samuel Adams Boston Lager,Boston Beer Company
Donald Meyer,Samuel Adams Boston Lager,Harpoon Brewery - Boston
Jeremiah Barker,Ipswich Winter,Boston Beer Company
Hallie Pearson,Samuel Adams Utopias MMIV,Brewery at Martha's Vineyard
Vernon Rodgers,Olde #8 Anniversary Ale,John Harvard's Brew House - Framingham
Andrew Wise,Samuel Adams Summer Ale,Element Brewing Company
Virgie Stephens,Harpoon Munich Dark,Boston Beer Company
Ellen Garrett,Longshot American Pale Ale,Boston Beer Works
Violet Day,Samuel Adams Cranberry Lambic,Commonwealth Brewing #1
Gary Romero,Ipswich Nut Brown,John Harvard's Brew House - Harvard Square
Christine Griffith,Graduation Ale,Wachusetts Brewing Company
Nina Doyle,Graduation Ale,John Harvard's Brew House - Harvard Square
Michael Nunez,Ipswich Original Ale,Commonwealth Brewing #1
Angel Bryan,Ipswich Nut Brown,Cambridge Brewing
Warren Fields,Samuel Adams Boston Ale,Wachusetts Brewing Company
